"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"2010100000","2010年度","40136","福岡県 福岡市 城南区","","124,790","","59,426","","65,364","","28,518","","35,358","","13,523","","18,378","","6,265","","9,917","","1,941","","3,995","","***","","***","","***","","***","","***","","62,266","","8","","7","","2","","98","","16","","0","","57","","170",""
"2010100000","2010年度","40137","福岡県 福岡市 早良区","","209,937","","99,161","","110,776","","50,046","","60,080","","22,632","","30,021","","10,204","","15,919","","3,160","","6,660","","***","","***","","***","","***","","***","","90,254","","13","","13","","5","","188","","28","","0","","57","","585",""
"2009100000","2009年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115","","102","","50","","1,398","","201","","316","","1,108","","3,819",""
"2009100000","2009年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","18","","10","","188","","27","","116","","393","","796",""
"2009100000","2009年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","18","","18","","9","","234","","27","","0","","189","","937",""
"2009100000","2009年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","18","","17","","4","","345","","40","","0","","116","","235",""
"2009100000","2009年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","13","","7","","206","","25","","50","","20","","630",""
"2009100000","2009年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","13","","141","","35","","150","","272","","589",""
"2009100000","2009年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","2","","99","","16","","0","","57","","196",""
"2009100000","2009年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","185","","31","","0","","61","","436",""
"2008100000","2008年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","114","","101","","50","","1,393","","206","","318","","1,159","","3,693",""
"2008100000","2008年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","17","","10","","198","","28","","116","","403","","782",""
"2008100000","2008年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","18","","18","","9","","235","","28","","0","","192","","813",""
"2008100000","2008年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","4","","336","","40","","0","","121","","203",""
"2008100000","2008年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","13","","7","","207","","27","","46","","20","","605",""
"2008100000","2008年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","13","","133","","35","","156","","276","","551",""
"2008100000","2008年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","2","","94","","16","","0","","86","","239",""
"2008100000","2008年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","12","","12","","5","","190","","32","","0","","61","","500",""
"2007100000","2007年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115","","102","","52","","1,388","","211","","322","","1,111","","3,002",""
"2007100000","2007年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","17","","10","","193","","28","","117","","400","","706",""
"2007100000","2007年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","18","","18","","9","","233","","28","","0","","192","","780",""
"2007100000","2007年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","5","","347","","41","","0","","104","","146",""
"2007100000","2007年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","8","","205","","27","","50","","20","","500",""
"2007100000","2007年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","13","","129","","36","","155","","247","","372",""
"2007100000","2007年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","2","","95","","17","","0","","89","","190",""
"2007100000","2007年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","12","","12","","5","","186","","34","","0","","59","","308",""
"2006100000","2006年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","118","","105","","55","","1,358","","211","","336","","1,071","","2,287",""
"2006100000","2006年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","18","","10","","183","","27","","117","","399","","538",""
"2006100000","2006年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","19","","11","","222","","30","","0","","159","","647",""
"2006100000","2006年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","5","","345","","41","","0","","100","","111",""
"2006100000","2006年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","8","","205","","30","","48","","19","","366",""
"2006100000","2006年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","14","","128","","32","","171","","244","","243",""
"2006100000","2006年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","2","","95","","17","","0","","89","","126",""
"2006100000","2006年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","180","","34","","0","","61","","256",""
"2005100000","2005年度","40130","福岡県 福岡市","","1,368,476","","654,438","","714,038","","301,102","","357,918","","121,324","","167,380","","57,513","","91,706","","15,807","","35,394","","***","","***","","***","","***","","***","","649,138","","119","","106","","56","","1,323","","210","","357","","1,037","","1,199",""
"2005100000","2005年度","40131","福岡県 福岡市 東区","","266,410","","131,924","","134,486","","59,114","","68,536","","24,446","","32,333","","11,612","","17,767","","3,196","","6,966","","***","","***","","***","","***","","***","","121,044","","21","","18","","10","","183","","27","","117","","406","","178",""
"2005100000","2005年度","40132","福岡県 福岡市 博多区","","185,452","","90,713","","94,739","","41,636","","46,511","","16,149","","22,704","","7,544","","12,692","","2,068","","5,059","","***","","***","","***","","***","","***","","105,121","","20","","20","","11","","218","","31","","0","","170","","412",""
"2005100000","2005年度","40133","福岡県 福岡市 中央区","","160,381","","71,445","","88,936","","32,791","","41,863","","12,174","","18,775","","5,860","","10,236","","1,717","","3,658","","***","","***","","***","","***","","***","","96,035","","19","","18","","5","","332","","41","","0","","47","","35",""
"2005100000","2005年度","40134","福岡県 福岡市 南区","","243,599","","114,895","","128,704","","53,166","","64,829","","21,534","","30,268","","10,312","","16,489","","2,794","","6,084","","***","","***","","***","","***","","***","","109,466","","17","","14","","8","","199","","28","","50","","20","","130",""
"2005100000","2005年度","40135","福岡県 福岡市 西区","","177,879","","84,721","","93,158","","40,852","","48,430","","17,362","","23,204","","8,254","","12,844","","2,262","","5,358","","***","","***","","***","","***","","***","","68,929","","21","","16","","14","","121","","31","","190","","248","","130",""
"2005100000","2005年度","40136","福岡県 福岡市 城南区","","127,041","","61,994","","65,047","","26,190","","32,213","","11,107","","15,268","","5,296","","8,273","","1,421","","3,181","","***","","***","","***","","***","","***","","61,403","","8","","7","","3","","92","","16","","0","","90","","91",""
"2005100000","2005年度","40137","福岡県 福岡市 早良区","","207,714","","98,746","","108,968","","47,353","","55,536","","18,552","","24,828","","8,635","","13,405","","2,349","","5,088","","***","","***","","***","","***","","***","","87,140","","13","","13","","5","","178","","36","","0","","56","","223",""
"2004100000","2004年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","121","","108","","57","","1,301","","221","","349","","1,056","","785",""
"2004100000","2004年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","19","","10","","183","","28","","117","","418","","130",""
"2004100000","2004年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","11","","219","","33","","0","","176","","319",""
"2004100000","2004年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","5","","315","","40","","0","","48","","0",""
"2004100000","2004年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","8","","196","","33","","49","","20","","61",""
"2004100000","2004年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","17","","15","","119","","31","","183","","247","","86",""
"2004100000","2004年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","3","","91","","17","","0","","89","","49",""
"2004100000","2004年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","178","","39","","0","","58","","140",""
"2003100000","2003年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","121","","108","","56","","1,290","","237","","353","","1,081","","458",""
"2003100000","2003年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","19","","9","","179","","31","","117","","433","","118",""
"2003100000","2003年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","11","","225","","36","","0","","182","","297",""
"2003100000","2003年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","5","","305","","42","","0","","48","","0",""
"2003100000","2003年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","8","","192","","34","","50","","19","","43",""
"2003100000","2003年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","17","","15","","117","","32","","186","","248","","0",""
"2003100000","2003年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","3","","88","","19","","0","","90","","0",""
"2003100000","2003年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","184","","43","","0","","61","","0",""
"2002100000","2002年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","121","","108","","47","","1,269","","248","","356","","1,027","","412",""
"2002100000","2002年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","19","","8","","179","","35","","117","","384","","120",""
"2002100000","2002年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","10","","220","","37","","0","","185","","292",""
"2002100000","2002年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","4","","301","","42","","0","","45","","0",""
"2002100000","2002年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","7","","188","","36","","50","","20","","0",""
"2002100000","2002年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","11","","113","","33","","189","","248","","0",""
"2002100000","2002年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","3","","90","","20","","0","","86","","0",""
"2002100000","2002年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","14","","14","","4","","178","","45","","0","","59","","0",""
"2001100000","2001年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","121","","108","","43","","1,251","","247","","355","","921","","392",""
"2001100000","2001年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","19","","6","","190","","35","","117","","357","","123",""
"2001100000","2001年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","10","","218","","39","","0","","178","","269",""
"2001100000","2001年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","4","","304","","43","","0","","48","","0",""
"2001100000","2001年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","7","","183","","37","","50","","15","","0",""
"2001100000","2001年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","9","","102","","31","","188","","173","","0",""
"2001100000","2001年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","3","","87","","19","","0","","88","","0",""
"2001100000","2001年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","14","","14","","4","","167","","43","","0","","62","","0",""
"2000100000","2000年度","40130","福岡県 福岡市","","1,325,066","","638,884","","686,182","","277,036","","327,281","","102,341","","142,248","","44,646","","73,503","","11,738","","26,258","","***","","***","","***","","***","","***","","599,989","","124","","112","","41","","1,219","","255","","358","","866","","328",""
"2000100000","2000年度","40131","福岡県 福岡市 東区","","262,790","","131,304","","131,486","","53,887","","62,744","","20,150","","27,318","","8,727","","14,234","","2,268","","5,235","","***","","***","","***","","***","","***","","116,519","","22","","20","","5","","185","","42","","117","","363","","66",""
"2000100000","2000年度","40132","福岡県 福岡市 博多区","","178,093","","88,412","","89,681","","38,730","","43,069","","14,023","","20,111","","6,165","","10,646","","1,705","","4,066","","***","","***","","***","","***","","***","","91,266","","20","","20","","10","","218","","40","","0","","184","","262",""
"2000100000","2000年度","40133","福岡県 福岡市 中央区","","149,106","","67,114","","81,992","","29,417","","37,214","","10,263","","16,375","","4,639","","8,314","","1,289","","2,782","","***","","***","","***","","***","","***","","83,326","","20","","19","","4","","293","","42","","0","","30","","0",""
"2000100000","2000年度","40134","福岡県 福岡市 南区","","241,761","","115,336","","126,425","","50,541","","60,418","","19,028","","26,052","","8,355","","13,229","","2,197","","4,509","","***","","***","","***","","***","","***","","105,188","","18","","15","","7","","174","","38","","50","","0","","0",""
"2000100000","2000年度","40135","福岡県 福岡市 西区","","165,951","","78,784","","87,167","","36,382","","43,212","","14,219","","19,078","","6,112","","10,173","","1,611","","3,949","","***","","***","","***","","***","","***","","61,740","","21","","16","","8","","99","","31","","191","","148","","0",""
"2000100000","2000年度","40136","福岡県 福岡市 城南区","","125,147","","61,481","","63,666","","24,486","","29,862","","9,452","","12,933","","4,157","","6,555","","1,057","","2,203","","***","","***","","***","","***","","***","","59,918","","8","","7","","3","","86","","19","","0","","81","","0",""
"2000100000","2000年度","40137","福岡県 福岡市 早良区","","202,218","","96,453","","105,765","","43,593","","50,762","","15,206","","20,381","","6,491","","10,352","","1,611","","3,514","","***","","***","","***","","***","","***","","82,032","","15","","15","","4","","164","","43","","0","","60","","0",""
"1999100000","1999年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","124","","112","","31","","1,191","","***","","***","","***","","***",""
"1999100000","1999年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","20","","4","","184","","***","","***","","***","","***",""
"1999100000","1999年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","10","","214","","***","","***","","***","","***",""
"1999100000","1999年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","19","","4","","277","","***","","***","","***","","***",""
"1999100000","1999年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","18","","15","","4","","170","","***","","***","","***","","***",""
"1999100000","1999年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","5","","95","","***","","***","","***","","***",""
"1999100000","1999年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","2","","84","","***","","***","","***","","***",""
"1999100000","1999年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","15","","15","","2","","167","","***","","***","","***","","***",""
"1998100000","1998年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","126","","114","","22","","1,177","","***","","***","","***","","***",""
"1998100000","1998年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","20","","4","","185","","***","","***","","***","","***",""
"1998100000","1998年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","7","","207","","***","","***","","***","","***",""
"1998100000","1998年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","20","","3","","270","","***","","***","","***","","***",""
"1998100000","1998年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","16","","3","","169","","***","","***","","***","","***",""
"1998100000","1998年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","4","","97","","***","","***","","***","","***",""
"1998100000","1998年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","0","","82","","***","","***","","***","","***",""
"1998100000","1998年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","15","","15","","1","","167","","***","","***","","***","","***",""
"1997100000","1997年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","126","","114","","7","","1,156","","***","","***","","***","","***",""
"1997100000","1997年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","20","","1","","182","","***","","***","","***","","***",""
"1997100000","1997年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","20","","1","","207","","***","","***","","***","","***",""
"1997100000","1997年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","20","","3","","266","","***","","***","","***","","***",""
"1997100000","1997年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","16","","1","","161","","***","","***","","***","","***",""
"1997100000","1997年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","1","","90","","***","","***","","***","","***",""
"1997100000","1997年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","0","","82","","***","","***","","***","","***",""
"1997100000","1997年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","15","","15","","0","","168","","***","","***","","***","","***",""
"1996100000","1996年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","114","","4","","1,129","","***","","***","","***","","***",""
"1996100000","1996年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","1","","175","","***","","***","","***","","***",""
"1996100000","1996年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","1","","204","","***","","***","","***","","***",""
"1996100000","1996年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","1","","259","","***","","***","","***","","***",""
"1996100000","1996年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","0","","163","","***","","***","","***","","***",""
"1996100000","1996年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","1","","86","","***","","***","","***","","***",""
"1996100000","1996年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","7","","0","","81","","***","","***","","***","","***",""
"1996100000","1996年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","15","","0","","161","","***","","***","","***","","***",""
"1995100000","1995年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","544,145","","***","","114","","***","","1,097","","***","","***","","***","","***",""
"1995100000","1995年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","107,535","","***","","20","","***","","169","","***","","***","","***","","***",""
"1995100000","1995年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","80,215","","***","","20","","***","","200","","***","","***","","***","","***",""
"1995100000","1995年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","72,571","","***","","20","","***","","254","","***","","***","","***","","***",""
