問題ーーーーーーーーーーーーーーーーーーーーーー,解説----------------------------------,正解,A,B,C,D,E
流動資産には現金預金が含まれる,,1,正しい,誤り,,,
流動資産には受取手形が含まれる,,1,正しい,誤り,,,
流動資産には売掛金が含まれる,,1,正しい,誤り,,,
流動資産には売買目的有価証券が含まれる,,1,正しい,誤り,,,
流動資産には棚卸資産が含まれる,,1,正しい,誤り,,,
流動資産には短期貸付金が含まれる,,1,正しい,誤り,,,
流通業では棚卸資産は主に商品などの在庫のことを言う,,1,正しい,誤り,,,
製造業では棚卸資産は主に原材料などの在庫のことを言う,,1,正しい,誤り,,,
棚卸資産とは製造業では製品などの在庫のことである,,1,正しい,誤り,,,
棚卸資産とは製造業では仕掛品なども含む,,1,正しい,誤り,,,
特許権は無形固定資産にあたる,,1,正しい,誤り,,,
のれんは無形固定資産ではない,のれんは無形固定資産です,2,正しい,誤り,,,
ソフトウェアは無形固定資産に含まれない,ソフトウェアは無形固定資産に含まれます,2,正しい,誤り,,,
繰越資産には株式交付費は含まれない,株式交付日は繰越資産に含まれます,2,正しい,誤り,,,
創立費は繰越資産にあたる,,1,正しい,誤り,,,
開業費は繰越資産ではない,開業費は繰越資産です,2,正しい,誤り,,,
開発費を繰越資産にするには一定の要件を満たす必要がある,,1,正しい,誤り,,,
研究開発費は繰越資産にできる,,1,正しい,誤り,,,
他人資本とは負債の中でも固定負債に限られる,固定負債に限らず、負債を他人資本といいます,2,正しい,誤り,,,
支払手形は固定負債である,支払手形は固定負債です,2,正しい,誤り,,,
短期借入金は流動負債である,,1,正しい,誤り,,,
前受収益は流動資産である,前受収益は流動負債です,2,正しい,誤り,,,
仕入債務とは買掛金のことである,仕入債務の一部が買掛金です,2,正しい,誤り,,,
仕入債務とは（？）の合計である,,3,買掛金と前受収益,支払手形と前受収益,支払手形と買掛金,未払費用と買掛金,
流動負債には経過勘定も含まれる,,1,正しい,誤り,,,
前受収益は経過勘定である,,1,正しい,誤り,,,
未払費用は経過勘定には含まれない,未払費用は経過勘定には含まれます,2,正しい,誤り,,,
未払費用は流動負債である,,1,正しい,誤り,,,
社債は流動負債である,社債は個て負債です,2,正しい,誤り,,,
長期借入金は固定負債に含まれる,,1,正しい,誤り,,,
退職給付引当金は固定資産に含まれる,退職給付引当金は固定負債に含まれます,2,正しい,誤り,,,
貸倒引当金は固定負債に含まれる,貸倒引当金は資産から控除され負債に含まれない,2,正しい,誤り,,,
貸借対照表の純資産とは資産ー負債の差額のことである,,1,正しい,誤り,,,
利益剰余金は貸借対照表の純資産に含まれる,,1,正しい,誤り,,,
株式発行による払込金額のうち、資本金に繰り入れられた額の残額は資本準備金に積み立てられる,,1,正しい,誤り,,,
利益準備金は原則、任意で積立額を設定できる,利益準備金は配当額の１０分の１を強制的に積み立てる制度です,2,正しい,誤り,,,
自己株式は発行済株式数を減らす目的で取得される,,1,正しい,誤り,,,
売上総利益から販管費を引いたものが経常利益である,売上総利益から販管費を引いたものは営業利益です,2,正しい,誤り,,,
経常利益は売上高から営業外収益と営業外費用を差引して求める,経常利益は営業利益から営業外収益と営業外費用を差引して求める,2,正しい,誤り,,,
雑収入は臨時的な収入として特別利益に含まれる,雑収入は特別利益に含まれません,2,正しい,誤り,,,
仕入割引は仕入とともに売上原価に含める,仕入割引は営業外収益として計上します,2,正しい,誤り,,,
固定資産売却益は営業外収益に含まれる,固定資産売却益は特別利益に含まれます,2,正しい,誤り,,,
前期損益修正益は臨時的な収益として特別利益とされる,,1,正しい,誤り,,,
固定資産売却損は特別損失として扱う,,1,正しい,誤り,,,
災害損失は特別損失に含まれる,,1,正しい,誤り,,,
繰越利益剰余金には当期純利益が含まれる,,1,正しい,誤り,,,
当期純利益は経常利益から法人税等を差引算出される,当期純利益は税引き前当期純利益から法人税等を差引算出されます,2,正しい,誤り,,,
経常利益は、営業利益＋営業外収益ー営業外費用で計算され、営業利益を上回ることもある,,1,正しい,誤り,,,
未払金は流動負債である,,1,正しい,誤り,,,
賞与引当金は固定資産に含む,賞与引当金は流動負債に含まれます,2,正しい,誤り,,,
車両運搬具は固定負債にあたる,車両運搬具は固定資産にあたります,2,正しい,誤り,,,
減価償却累計額は貸借対照表上の負債の部で計上する,減価償却累計額は貸借対照表上の資産の部で各資産ごとに控除します,2,正しい,誤り,,,
投資有価証券は貸借対照表上の純資産の部で計算する,投資有価証券は貸借対照表上の資産の部の投資その他の資産に含まれます,2,正しい,誤り,,,
開業費は繰延資産として計上される,,1,正しい,誤り,,,
任意積立金は固定負債として積み上げる,任意積立金は固定資産に含まれます,2,正しい,誤り,,,
利益剰余金とは利益準備金、任意積立金、繰越利益剰余金などからなる,,1,正しい,誤り,,,
新株予約券は流動負債に含まれる,新株予約券は固定資産に含まれます,2,正しい,誤り,,,
評価・換算差額は純資産の部で計算される,,1,正しい,誤り,,,
貸倒引当金は受取手形に引き当てるが、売掛金に引き当てることはできない,売掛金にも貸倒引当金を引き当てることができます,2,正しい,誤り,,,
株主資本等変動計算書は上から期首、下部を期末とし流れを確認できるようにする,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
,,1,正しい,誤り,,,
